Município;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Jardim de Angicos (RN);5587.633;6936.92;6812.139;7942.258;9187.501;9460.097;11713.701;13114.602;13760.958;15411.007;16341.862;19225.846;18940.184;22097.354;22158.52;24926.01;25785.938;27610.065;54137.157;61536.149
Jardim de Piranhas (RN);31317.942;35352.676;35326.257;43666.225;53184.652;64200.989;67671.798;67618.087;73401.638;88246.014;96349.171;122385.102;128019.004;133053.088;114314.488;123155.382;139076.652;165287.466;171702.461;196357.423
Jardim do Seridó (RN);33014.864;34596.092;38469.288;47811.147;50202.153;58091.424;57933.057;71884.111;81752.188;85225.914;92804.071;100749.162;107212.112;118687.495;130635.447;144338.193;152348.158;166379.021;172562.603;187191.852
João Câmara (RN);63108.616;71340.699;82160.153;95808.625;107385.077;126309.507;137190.102;168365.905;191474.33;213853.986;282053.25;415840.093;459879.062;756381.65;906871.607;980129.419;876342.362;875053.308;1024291.077;1197900.363
João Dias (RN);5396.439;5749.56;6575.987;7159.695;7957.799;9393.492;10174.271;11281.45;12036.811;13450.279;14229.805;15919.889;17278.956;18096.023;18298.663;20408.2;21177.754;23116.74;24822.781;27291.041
José da Penha (RN);10826.646;12134.881;14208.886;15237.866;17151.966;19676.342;22178.341;25202.01;26415.734;28772.677;29998.534;34169.12;38539.018;41965.011;41912.474;46985.41;52301.352;56316.443;58881.221;63928.687
Jucurutu (RN);34672.886;39573.038;43277.735;57566.534;60411.687;72079.193;70946.308;80784.71;88375.52;101458.533;110235.834;121754.8;146679.106;157296.87;171619.608;197698.017;216462.135;234048.117;311828.392;283568.296
Jundiá (RN);6330.858;7478.188;8591.064;9686.892;10004.462;11536.929;14456.894;16284.349;16779.694;18649.475;19133.77;21796.79;23855.697;25791.05;27888.098;32274.894;32736.152;36418.922;38234.198;41101.666
Lagoa d'Anta (RN);11231.799;15576.149;20355.87;21338.925;19321.617;21395.758;23365.738;26670.455;27568.406;31513.988;33073.518;37770.907;39181.859;44311.861;46798.113;49014.45;57655.06;61925.631;65681.536;67284.839
Lagoa de Pedras (RN);12486.978;15141.55;16041.99;19052.497;21480.299;23931.576;22840.575;27186.021;30100.875;32036.597;34192.771;41005.229;43551.809;49643.563;52798.108;57076.993;63383.76;67118.903;72610.597;77691.658
Lagoa de Velhos (RN);7385.856;8533.637;8988.96;9884.769;11194.849;13970.918;14096.036;15123.89;16844.146;18036.202;19488.561;23182.213;22812.864;28833.297;28983.775;30436.518;31829.689;35478.666;35808.168;37216.317
Lagoa Nova (RN);24425.405;26020.754;27358.196;31078.751;36051.141;39319.461;43652.6;49851.408;56873.712;70723.6;100719.606;138295.544;142434.239;118212.841;124569.046;221307.52;240126.415;202921.43;220303.153;236733.572
Lagoa Salgada (RN);14183.881;16650.383;20304.758;20258.047;22498.124;26008.407;29650.459;30459.409;34318.247;38290.117;41778.396;55892.409;46314.373;54219.996;56454.964;64511.759;71819.034;78695.596;84601.164;89410.29
Lajes (RN);21142.863;23169.633;25712.872;26436.721;26778.017;35941.771;39486.445;43715.101;47901.947;57365.958;75740.987;86688.472;87612.65;92824.835;101685.534;111474.674;117306.076;126288.284;128451.941;144386.264
Lajes Pintadas (RN);8777.808;9483.128;13610.528;14171.923;15484.455;16615.789;17775.189;19076.799;21508.437;24889.941;26825.871;29720.73;33177.354;35867.536;38606.786;40183.753;40735.86;45264.193;48054.202;49843.421
Lucrécia (RN);7041.377;7984.81;9154.639;10057.262;10957.954;14251.691;14998.736;17177.388;17878.288;23063.984;25540.815;31230.114;32980.116;38755.08;33731.778;40366.385;50143.425;50676.369;50300.479;48489.502
Luís Gomes (RN);16707.795;17867.596;20915.097;20844.213;26535.464;30401.947;34350.846;38028.39;43147.16;47285.472;51540.358;54876.971;58689.011;60971.485;61614.942;66658.69;70754.709;77602.832;81667.162;84456.261
Macaíba (RN);250490.527;326334.973;366281.34;429795.863;502159.699;643650.943;671753.564;647790.826;885246.236;895974.072;1093414.241;1136641.244;1117093.354;1256873.288;1155686.675;1257222.292;1393843.834;1570568.632;1455584.598;1561057.43
Macau (RN);255278.209;275631.915;363433.008;441487.504;500641.539;513465.642;621072.88;458278.473;600188.87;745563.187;914544.099;920588.377;883852.141;748391.99;511477.511;561131.477;694300.739;738355.629;653263.706;1065645.149
Major Sales (RN);5528.854;6201.296;7302.689;8128.718;9295.476;11169.624;13073.505;14161.977;15104.043;17179.93;18516.228;21308.77;27761.124;30028.749;30405.744;33859.519;36099.16;39383.793;41533.552;45695.468
Marcelino Vieira (RN);15453.094;16421.502;19816.748;21041.812;23936.799;26898.547;33337.91;34783.71;35632.476;40358.546;43589.057;47569.323;50103.483;55246.538;57521.386;60470.085;66005.373;71771.911;75017.695;78944.731
Martins (RN);16782.451;18487.458;23180.163;25602.231;25119.982;28858.096;30799.519;34656.272;38447.02;43107.758;48218.702;54083.495;59102.093;64193.265;69812.435;77558.259;82445.121;89953.425;90446.877;99247.014
Maxaranguape (RN);19911.229;24338.846;28188.109;30743.793;36547.224;39104.178;44947.914;46738.448;51541.53;57017.516;62520.53;75339.604;82054.581;91276.285;98511.204;104532.749;114633.009;119815.414;127914.303;127115.446
Messias Targino (RN);7766.834;8446.453;9480.358;10544.38;12487.846;14271.668;15256.813;15761.522;19350.775;38877.035;43828.971;51028.291;58770.045;57871.139;54795.681;66917.302;50829.188;54143.329;51469.559;51547.73
Montanhas (RN);18875.408;20066.18;23195.948;26958.834;31245.646;35767.413;39590.908;44067.256;43236.045;49574.975;55199.822;63301.95;67942.999;75567.833;80098.849;85158.543;94569.676;105483.077;113023.531;119452.108
Monte Alegre (RN);34666.922;39434.987;47394.212;51681.729;57648.229;62633.33;71652.754;82938.016;93633.946;103673.747;119501.139;139839.819;151129.929;166066.205;180357.98;196823.257;213690;229200.345;234177.339;252962.207
Monte das Gameleiras (RN);12028.051;16447.071;24368.519;29014.106;17324.332;21379.746;22715.496;21520.017;11807.562;13837.912;14210.8;17230.382;19129.551;18602.431;18375.651;21556.589;24697.794;25567.536;27786.171;31374.967
Mossoró (RN);1354250.301;1544221.576;2014819.374;2321198.627;2509675.168;2794470.688;3258380.29;3247025.066;3975888.912;4543922.439;5145765.471;5547450.376;5613718.671;5352322.046;5132460.545;5434931.875;5909686.282;6428973.338;6257744.79;6898481.153
